journal,database,category,publisher,cas,is_top
Advanced Science,SCIE;,Multidisciplinary Science,WILEY,1,1
ACTA SCIENTIARUM-TECHNOLOGY,SCIE;,Multidisciplinary Science,"UNIV ESTADUAL MARINGA, PRO-REITORIA PESQUISA POS-GRADUACAO",4,0
AD ALTA-Journal of Interdisciplinary Research,ESCI;,Multidisciplinary Science,MAGNANIMITAS,Î´ÆÀ¼¶,0
African Journal of Science Technology Innovation & Development,ESCI;,Multidisciplinary Science,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,0
All Life,SCIE;,Multidisciplinary Science,TAYLOR & FRANCIS LTD,4,0
AMERICAN SCIENTIST,SCIE;,Multidisciplinary Science,SIGMA XI-SCI RES SOC,4,0
ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,SCIE;,Multidisciplinary Science,ACAD BRASILEIRA DE CIENCIAS,4,0
ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,SCIE;,Multidisciplinary Science,WILEY,2,0
Applied Sciences-Basel,SCIE;,Multidisciplinary Science,MDPI,4,0
ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,SCIE;,Multidisciplinary Science,SPRINGER HEIDELBERG,4,0
ARO-The Scientific Journal of Koya University,ESCI;,Multidisciplinary Science,KOYA UNIV,4,0
Atti Accademia Peloritana dei Pericolanti-Classe di Scienze Fisiche Matematiche e Naturali,ESCI;,Multidisciplinary Science,ACCAD PELORITANA PERICOLANTI,4,0
Avances,ESCI;,Multidisciplinary Science,CENTRO INFORMACION & GESTION TECNOLOGICA PINAR DEL RIO,4,0
Baghdad Science Journal,ESCI;,Multidisciplinary Science,"COLL SCIENCE WOMEN, UNIV BAGHDAD",4,0
Beni-Suef University Journal of Basic and Applied Sciences,ESCI;,Multidisciplinary Science,SPRINGERNATURE,4,0
BMC Research Notes,ESCI;,Multidisciplinary Science,SPRINGERNATURE,4,0
Cell Reports Physical Science,SCIE;,Multidisciplinary Science,CELL PRESS,2,0
Chemistry-Didactics-Ecology-Metrology,ESCI;,Multidisciplinary Science,SCIENDO,4,0
Chiang Mai Journal of Science,SCIE;,Multidisciplinary Science,"CHIANG MAI UNIV, FAC SCIENCE",4,0
Chinese Science Bulletin-Chinese,ESCI;,Multidisciplinary Science,SCIENCE PRESS,1,1
CienciaUat,ESCI;,Multidisciplinary Science,UNIV AUTONOMA TAMAULIPAS,4,0
COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES,SCIE;,Multidisciplinary Science,PUBL HOUSE BULGARIAN ACAD SCI,4,0
Cultura Cientifica,ESCI;,Multidisciplinary Science,FUNDACION UNIV JUAN CASTELLANOS,4,0
CURRENT SCIENCE,SCIE;,Multidisciplinary Science,INDIAN ACAD SCIENCES,4,0
Data in Brief,ESCI;,Multidisciplinary Science,ELSEVIER,4,0
DOKLADY NATSIONALNOI AKADEMII NAUK BELARUSI,ESCI;,Multidisciplinary Science,BELARUSKAYA NAVUKA,4,0
Estudios-Centro de Estudios Avanzados-Universidad Nacional de Cordoba,ESCI;,Multidisciplinary Science,"UNIV NAC CORDOBA, CENTRO ESTUDIOS AVANZADOS",4,0
EuroBiotech Journal,ESCI;,Multidisciplinary Science,SCIENDO,4,0
Everymans Science,ESCI;,Multidisciplinary Science,INDIAN SCIENCE CONGRESS ASSOC,4,0
Facets,SCIE;,Multidisciplinary Science,CANADIAN SCIENCE PUBLISHING,3,0
Forecasting,ESCI;,Multidisciplinary Science,MDPI,3,0
Fundamental Research,ESCI;,Multidisciplinary Science,KEAI PUBLISHING LTD,2,0
Gazi University Journal of Science,ESCI;,Multidisciplinary Science,GAZI UNIV,4,0
GLOBAL CHALLENGES,SCIE;,Multidisciplinary Science,WILEY-V C H VERLAG GMBH,4,0
Heliyon,SCIE;,Multidisciplinary Science,CELL PRESS,4,0
HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,SCIE;,Multidisciplinary Science,MAIK NAUKA/INTERPERIODICA/SPRINGER,4,0
Heritage,ESCI;,Multidisciplinary Science,MDPI,3,0
Holos,ESCI;,Multidisciplinary Science,CENTRO FEDERAL EDUCACAO TECNOLOGICA RIO GRANDE NORTE,4,0
IEEE SENSORS JOURNAL,SCIE;,Multidisciplinary Science,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,3,0
IEEE Sensors Letters,ESCI;,Multidisciplinary Science,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,4,0
Informes Cientificos y Tecnicos,ESCI;,Multidisciplinary Science,UNIV NAC PATAGONIA AUSTRAL,4,0
The Innovation,ESCI;,Multidisciplinary Science,CELL PRESS,Î´ÆÀ¼¶,0
INTERCIENCIA,SCIE;,Multidisciplinary Science,INTERCIENCIA,4,0
INTERDISCIPLINARY SCIENCE REVIEWS,SSCI;SCIE;,Multidisciplinary Science,SAGE PUBLICATIONS INC,4,0
